shoeNumber	shoeName	shoeUrl	shoePrice
0	Nike Air Zoom Pegasus 35	https://runrepeat.com/nike-air-zoom-pegasus-35	72
1	Adidas Ultra Boost	https://runrepeat.com/adidas-ultra-boost	69
2	Asics Gel Kayano 25	https://runrepeat.com/asics-gel-kayano-25	120
3	Nike Epic React Flyknit	https://runrepeat.com/nike-epic-react-flyknit	80
4	Asics Gel Venture 6	https://runrepeat.com/asics-gel-venture-6	30
5	Brooks Adrenaline GTS 18	https://runrepeat.com/brooks-adrenaline-gts-18	60
6	Brooks Glycerin 16	https://runrepeat.com/brooks-glycerin-16	85
7	Under Armour Charged Bandit 3	https://runrepeat.com/under-armour-charged-bandit-3	50
8	Nike Free RN 2018	https://runrepeat.com/nike-free-rn-2018	65
9	On Cloud	https://runrepeat.com/on-cloud	84
10	Nike Air Zoom Vomero 14	https://runrepeat.com/nike-air-zoom-vomero-14	98
11	Nike Revolution 4	https://runrepeat.com/nike-revolution-4	40
12	Saucony Kinvara 9	https://runrepeat.com/saucony-kinvara-9	100
13	Nike Odyssey React	https://runrepeat.com/nike-odyssey-react	65
14	Mizuno Wave Rider 22	https://runrepeat.com/mizuno-wave-rider-22	120
15	Nike Air Zoom Winflo 5	https://runrepeat.com/nike-air-zoom-winflo-5	60
16	Nike Zoom Fly Flyknit	https://runrepeat.com/nike-zoom-fly-flyknit	104
17	Adidas Solar Glide	https://runrepeat.com/adidas-solar-glide	48
18	Brooks Launch 5	https://runrepeat.com/brooks-launch-5	50
19	Asics Gel Contend 4	https://runrepeat.com/asics-gel-contend-4	40
20	Nike Zoom Fly SP	https://runrepeat.com/nike-zoom-fly-sp	63
21	Saucony Guide ISO	https://runrepeat.com/saucony-guide-iso	51
22	Brooks Ghost 11	https://runrepeat.com/brooks-ghost-11	105
23	Nike Free RN Flyknit 2018	https://runrepeat.com/nike-free-rn-flyknit-2018	60
24	New Balance 990 v4	https://runrepeat.com/new-balance-990-v4	75
25	Brooks Ghost 10	https://runrepeat.com/brooks-ghost-10	80
26	Asics Gel Cumulus 20	https://runrepeat.com/asics-gel-cumulus-20	68
27	Salomon Speedcross 4	https://runrepeat.com/salomon-speedcross-4	86
28	Nike Zoom Fly	https://runrepeat.com/nike-zoom-fly	90
29	Asics Roadhawk FF	https://runrepeat.com/asics-roadhawk-ff	47
30	Asics Gel Kayano 24	https://runrepeat.com/asics-gel-kayano-24	70
31	Nike Air Zoom Pegasus 34	https://runrepeat.com/nike-air-zoom-pegasus-34	65
32	Altra Escalante	https://runrepeat.com/altra-escalante	86
33	Asics Patriot 10	https://runrepeat.com/asics-patriot-10	33
34	Nike Zoom Pegasus Turbo	https://runrepeat.com/nike-zoom-pegasus-turbo	144
35	Asics Gel Nimbus 20	https://runrepeat.com/asics-gel-nimbus-20	77
36	Nike Downshifter 7	https://runrepeat.com/nike-downshifter-7	34
37	Adidas Solar Drive	https://runrepeat.com/adidas-solar-drive	48
38	Nike Air Zoom Vomero 14	https://runrepeat.com/nike-air-zoom-vomero-14	98
39	Merrell Vapor Glove 3	https://runrepeat.com/merrell-vapor-glove-3	53
40	Adidas Solar Boost	https://runrepeat.com/adidas-solar-boost	85
41	Hoka One One Clifton 5	https://runrepeat.com/hoka-one-one-clifton-5	130
42	Brooks Glycerin 15	https://runrepeat.com/brooks-glycerin-15	70
43	Adidas Pure Boost	https://runrepeat.com/adidas-pure-boost	35
44	Nike LunarGlide 9	https://runrepeat.com/nike-lunarglide-9	35
45	Altra Escalante Racer	https://runrepeat.com/altra-escalante-racer	109
46	Asics Gel FujiTrabuco 6	https://runrepeat.com/asics-gel-fujitrabuco-6	35
47	Adidas Pure Boost DPR	https://runrepeat.com/adidas-pure-boost-dpr	64
48	Nike Flex Experience RN 7	https://runrepeat.com/nike-flex-experience-rn-7	34
49	Adidas Pure Boost Go	https://runrepeat.com/adidas-pure-boost-go	54
50	Adidas Ultra Boost 19	https://runrepeat.com/adidas-ultra-boost-19	120
51	Adidas AlphaBounce Beyond	https://runrepeat.com/adidas-alphabounce-beyond	47
52	Nike Air Zoom Structure 21	https://runrepeat.com/nike-air-zoom-structure-21	65
53	Merrell Trail Glove 4	https://runrepeat.com/merrell-trail-glove-4	83
54	Brooks Adrenaline GTS 19	https://runrepeat.com/brooks-adrenaline-gts-19	130
55	Adidas Ultraboost Clima	https://runrepeat.com/adidas-ultraboost-clima	99
56	Asics DynaFlyte 2	https://runrepeat.com/asics-dynaflyte-2	60
57	Brooks Ravenna 9	https://runrepeat.com/brooks-ravenna-9	71
58	Adidas Solar Glide ST	https://runrepeat.com/adidas-solar-glide-st	47
59	Saucony Triumph ISO 4	https://runrepeat.com/saucony-triumph-iso-4	59
60	Hoka One One Bondi 5	https://runrepeat.com/hoka-one-one-bondi-5	95
61	New Balance 880 v8	https://runrepeat.com/new-balance-880-v8	125
62	Asics Roadhawk FF 2	https://runrepeat.com/asics-roadhawk-ff-2	50
63	New Balance Fresh Foam Beacon	https://runrepeat.com/new-balance-fresh-foam-beacon	100
64	Under Armour HOVR Sonic	https://runrepeat.com/under-armour-hovr-sonic	80
65	Saucony Freedom ISO	https://runrepeat.com/saucony-freedom-iso	50
66	Salomon Speedcross 4 GTX	https://runrepeat.com/salomon-speedcross-4-gtx	160
67	Saucony Liberty ISO	https://runrepeat.com/saucony-liberty-iso	139
68	Asics Gel Excite 4	https://runrepeat.com/asics-gel-excite-4	30
69	Nike Legend React	https://runrepeat.com/nike-legend-react	54
70	Saucony Freedom ISO 2	https://runrepeat.com/saucony-freedom-iso-2	89
71	New Balance Fresh Foam 1080 v8	https://runrepeat.com/new-balance-fresh-foam-1080-v8	70
72	Nike Free 5.0	https://runrepeat.com/nike-free	55
73	Salomon Sense Ride	https://runrepeat.com/salomon-sense-ride	80
74	Hoka One One Torrent	https://runrepeat.com/hoka-one-one-torrent	120
75	Nike Air Zoom Winflo 4	https://runrepeat.com/nike-air-zoom-winflo-4	63
76	Asics Noosa FF	https://runrepeat.com/asics-noosa-ff	65
77	Adidas Ultra Boost All Terrain	https://runrepeat.com/adidas-ultra-boost-all-terrain	110
78	Saucony Peregrine 8	https://runrepeat.com/saucony-peregrine-8	60
79	Saucony Ride 10	https://runrepeat.com/saucony-ride-10	54
80	Asics GT 2000 6	https://runrepeat.com/asics-gt-2000-6	60
81	Mizuno Wave Inspire 14	https://runrepeat.com/mizuno-wave-inspire-14	55
82	Brooks Revel	https://runrepeat.com/brooks-revel	65
83	Adidas AlphaBounce	https://runrepeat.com/adidas-alphabounce	50
84	New Balance Fresh Foam 1080 v9	https://runrepeat.com/new-balance-fresh-foam-1080-v9	120
85	Adidas Ultra Boost Uncaged	https://runrepeat.com/adidas-ultra-boost-uncaged	108
86	Nike Epic React Flyknit 2	https://runrepeat.com/nike-epic-react-flyknit-2	90
87	Altra Duo	https://runrepeat.com/altra-duo	74
88	Nike Air Zoom Vomero 13	https://runrepeat.com/nike-air-zoom-vomero-13	84
89	Hoka One One Clifton 1	https://runrepeat.com/hoka-one-one-clifton-1	80
90	Adidas Ultra Boost Laceless	https://runrepeat.com/adidas-ultra-boost-laceless	68
91	Nike Air Zoom Pegasus 35 Shield	https://runrepeat.com/nike-air-zoom-pegasus-35-shield	91
92	Asics Gel Contend 5	https://runrepeat.com/asics-gel-contend-5	33
93	New Balance Fresh Foam Zante v4	https://runrepeat.com/new-balance-fresh-foam-zante-v4	50
94	Asics Gel Quantum 90	https://runrepeat.com/asics-gel-quantum-90	62
95	Hoka One One Cavu	https://runrepeat.com/hoka-one-one-cavu	67
96	Nike Zoom Strike	https://runrepeat.com/nike-zoom-strike	49
97	Adidas Terrex Agravic	https://runrepeat.com/adidas-terrex-agravic	55
98	Inov-8 Roclite 290	https://runrepeat.com/inov-8-roclite-290	69
99	Adidas Ultra Boost ST	https://runrepeat.com/adidas-ultra-boost-st	80
100	Brooks Levitate	https://runrepeat.com/brooks-levitate	67
101	Adidas Adizero Adios Boost 3.0	https://runrepeat.com/adidas-adizero-adios-boost	50
102	Adidas Adizero Adios 4	https://runrepeat.com/adidas-adizero-adios-4	99
103	Nike Flex RN 2018	https://runrepeat.com/nike-flex-rn-2018	45
104	Adidas Duramo 9	https://runrepeat.com/adidas-duramo-9	33
105	Salomon Sense Pro Max	https://runrepeat.com/salomon-sense-pro-max	90
106	Merrell Bare Access Flex	https://runrepeat.com/merrell-bare-access-flex	46
107	Adidas Terrex Tracerocker	https://runrepeat.com/adidas-terrex-tracerocker	51
108	Adidas Supernova Glide Boost 8	https://runrepeat.com/adidas-supernova-glide-boost	90
109	Asics Gel Kenun	https://runrepeat.com/asics-gel-kenun	40
110	Nike Zoom All Out Low	https://runrepeat.com/nike-zoom-all-out-low	60
111	Asics GT 1000 7	https://runrepeat.com/asics-gt-1000-7	51
112	Hoka One One Mach	https://runrepeat.com/hoka-one-one-mach	75
113	Hoka One One Speedgoat 3	https://runrepeat.com/hoka-one-one-speedgoat-3	140
114	Under Armour Micro G Pursuit	https://runrepeat.com/under-armour-micro-g-pursuit	30
115	Asics GT 1000 4	https://runrepeat.com/asics-gt-1000	35
116	Skechers GOrun Ride 7	https://runrepeat.com/skechers-gorun-ride-7	63
117	Adidas Adizero Tempo 9	https://runrepeat.com/adidas-adizero-tempo-9	31
118	Adidas Adizero Boston Boost 6	https://runrepeat.com/adidas-adizero-boston-boost	50
119	Asics DynaFlyte	https://runrepeat.com/asics-dynaflyte	49
120	Hoka One One Gaviota	https://runrepeat.com/hoka-one-one-gaviota	90
121	Adidas Questar TND	https://runrepeat.com/adidas-questar-tnd	38
122	Hoka One One Arahi	https://runrepeat.com/hoka-one-one-arahi	130
123	New Balance Fresh Foam Cruz	https://runrepeat.com/new-balance-fresh-foam-cruz	30
124	Asics FuzeX	https://runrepeat.com/asics-fuzex	80
125	Asics Gel Nimbus 21	https://runrepeat.com/asics-gel-nimbus-21	120
126	Under Armour SpeedForm Intake 2	https://runrepeat.com/under-armour-speedform-intake-2	70
127	Brooks Cascadia 12	https://runrepeat.com/brooks-cascadia-12	90
128	Hoka One One Clifton 4	https://runrepeat.com/hoka-one-one-clifton-4	85
129	New Balance 1400 v6	https://runrepeat.com/new-balance-1400-v6	49
130	Hoka One One Bondi 6	https://runrepeat.com/hoka-one-one-bondi-6	150
131	La Sportiva Bushido	https://runrepeat.com/la-sportiva-bushido	50
132	Hoka One One Arahi 2	https://runrepeat.com/hoka-one-one-arahi-2	104
133	On Cloudflow	https://runrepeat.com/on-cloudflow	140
134	Adidas Terrex Agravic Speed	https://runrepeat.com/adidas-terrex-agravic-speed	68
135	Adidas Questar Ride	https://runrepeat.com/adidas-questar-ride	42
136	Asics Gel Exalt 4	https://runrepeat.com/asics-gel-exalt-4	35
137	Asics DynaFlyte 3	https://runrepeat.com/asics-dynaflyte-3	130
138	Salomon XA Pro 3D GTX	https://runrepeat.com/salomon-xa-pro-3d-gtx	129
139	New Balance Fresh Foam Arishi	https://runrepeat.com/new-balance-fresh-foam-arishi	30
140	Nike Air VaporMax Flyknit	https://runrepeat.com/nike-air-vapormax-flyknit	150
141	Nike LunarGlide 8	https://runrepeat.com/nike-lunarglide-8	65
142	Adidas Supernova	https://runrepeat.com/adidas-supernova	44
143	Nike Air Zoom Terra Kiger 4	https://runrepeat.com/nike-air-zoom-terra-kiger-4	95
144	New Balance 1500 v4	https://runrepeat.com/new-balance-1500-v4	42
145	Adidas Solar Drive ST	https://runrepeat.com/adidas-solar-drive-st	89
146	Mizuno Wave Sky	https://runrepeat.com/mizuno-wave-sky	82
