	Unnamed: 0	shoeName	amazonFeatureBullets	amazonReviews	link
0	0	Nike Air Zoom Pegasus 35	['Synthetic', 'Fashion Trend: Ankle-High Mesh Running Shoe']	I like how they look and the moccasin-like shape (a much smaller portion of the shoe is kept by shoe laces). Like its predecessors, they are durable, and wear well. The fit is a bit funky... I buy the Pegasus 1/2 size larger, and it was always a good fit. Of the proper running shoes I tried from Brooks, Saucony, New Balance, etc, I found these Nikes have the softest sole while still providing good support for my relatively flat feet (I use some arch support insoles with them). The sock-like fit and exceptional shock absorption really save my knees and back when I jog. Really like them. Avid runner here, I run 5 miles a day for the last few years. Wow what a mistake. The left shoe is super wonky fitting. I would of bought free runs if NIKE got their crap together and released the 2019's I would of gladly paid $40 more than these garbage shoes. I'm guessing people who gave these good reviews never used the Flyknit Freeruns. My feet already feel like I have plantar fasciitis starting. I gave an extra star because atleast they have good laces lol These are very cool looking shoes, but they just didnt fit right to me. At first it felt fine, then walking around the house for a few minutes it felt tight. So I was nervous when I decided to try this particular shoe after years of running in the Nike Lunar Glide series, but wow, im glad I did it. Took this pair for a 10 mile run right out of the box that was mostly streets and sidewalks, but also had about 3 miles of cross-country in a hilly park and they were fantastic in all 3 conditions. Terrific traction and bounce and the upper wrapped very nicely around my feet. I wish I had kept the laces from my last pair of Lunar Glides because they NEVER came untied. I like everything about the shoe, except for the fact that after just one month of running about 15 miles per week, the outsole has already worn away at the outside edge of the heel. It could be just me, but I ran much faster and easier with these than with my other running shoes. Like I learned in basketball never short on shoes if you plan to use them a lot. These shoes have tons of cushion and adapt to your feet very well. I have very flat feet and had problems with other running shoes but these are fine. Worth it if you can afford it.	https://www.amazon.com/Nike-Mens-Zoom-Pegasus-Running/dp/B075ZXLCV3?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07CZQ8VN1&psc=1
1	1	Adidas Ultra Boost	['Textile and Synthetic', 'Imported', 'Rubber sole', 'Stride fast and light in the adidas® UltraBOOST running shoe!', 'Predecessor: None.', 'Support Type: Neutral.', 'Cushioning: Lightweight, flexible response.', 'Surface: Road. Differential: Not provided. Primeknit textile upper wraps the foot for a snug, adaptive fit. Structurally-supportive synthetic mid-foot cage. Lace-up closure. FITCOUNTER molded heel counter offers a natural fit that allows optimal movement of the Achilles tendon. Bootie construction supplies a snug, sock-like fit. Smooth textile lining. Removable foam insole. Ultracushioned boost midsole is optimized for a responsive ride. TORSION® SYSTEM, placed between the he']	The Adidas Ultra boost are an extremely popular shoe these days, and while they are very comfortable for the average width foot, they will not work if your foot is wide. I see one reviewer said just the opposite, noting they had a lot of room in the toe box area, but I have been wearing wide shoes for years and the ultraboost are definitely too narrow for my foot. Another reviewer said the shoe fits like a sock, and I would agree that is a perfect description. The shoe is very form-fitting to the foot and almost feels like a sock when it is on, but again, if you have wide feet these shoes will feel quite constricting. I would also agree with the assessment I've seen in some other reviews that you should order a half size larger than your normal shoe size. My younger son has had his Utraboosts for five months now and they are holding up well. Both kids think the Ultraboosts are very comfortable as well. I bought these because I previously bought a pair of Ultraboost uncaged and love them. I thought I would try the standard Ultraboost since I run in them (though I am not a marathoner) and I wanted to see if they might provide better support for running. At this point I still prefer the uncaged version, but these are still comfortable and I don't seem to get pain in my knees like I have with other brands. Better of just spending the extra dough to get them at the store or find a better shoe. Cool idea for a shoe but for the price you can just about buy 2 pairs of vans or even new balance 574s... even almost 2 pairs of brooks if youre a runner I'm a size 7 mens in new balance. I got them and they fit especially tightly in the toe box area (vertically though). So after watching some videos I decided to take the soles out and that solved my fitting issue. They feel great on feet even just on the boost. For me the biggest thing is they are a really great looking pair of shoes for any occasion. I hope my fitting experience helps someone in a similar spot. My son couldn't get over how comfortable theses shoes are. The order came quick and they are perfect. My son loves the comfort and style of the shoes. If you are someone with wide feet like my son, youll enjoy the flexibility of the material. I think Addidas shoes in general fits better for wider feet better than some of the other competitive brands. OK, If are like my and are trying to avoid getting a fake these are genuine Adidas ultra boost. when I first got them I went to an Adidas retail to have them checked and they told me after they inspected it that was OK. Continental soil is not shiny , boost pattern is not the same in both shoes, has 5 strips on the back, the boost also has the nipples . so far they feel super good and are performing OK. I use them 4 days a week to work as I work standing for 10 hours a day	https://www.amazon.com/adidas-Performance-Ultra-Boost-Running/dp/B07D7XTJBV?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00WW7JCCG&psc=1
2	2	Asics Gel Kayano 25	"['Manmade', 'Imported', ""I.G.S (IMPACT GUIDANCE SYSTEM) TECHNOLOGY: ASICS design philosophy that employs linked componentry to enhance the foot's natural gait from heel strike to toe-off."", 'GUIDANCE LINE MIDSOLE TECHNOLOGY: Vertical flex groove decouples the tooling along the line of progression for enhanced gait efficiency.', 'FLYTEFOAM PROPEL TECHNOLOGY: ASICS energetic foam formulation that provides supreme bounce thanks to a unique elastomer compound.', 'FLYTEFOAM LYTE TECHNOLOGY: ASICS lightest weight midsole formulation that provides continuous cushion thanks to organic nano fibers.', 'FLUIDRIDE MIDSOLE: provides the ultimate combination of bounce back and cushioning properties with reduced weight and exceptional durability.']"		https://www.amazon.com/dp/B079VHL3NJ/ref=asc_df_B079VHL3NJ1555758000000?tag=runrepcom-20&creative=395261&creativeASIN=B079VHL3NJ&linkCode=asn&psc=1
3	3	Nike Epic React Flyknit	"['Synthetic', 'Synthetic', 'Band New', '100% Original', 'Authentic', ""For Men's""]"	Sought these out because they were highly rated running shoes, but I didn't want to pay an extra 50 bucks for different colors; managed to snag these and have recieved lots of compliments. Overall great shoe so far. Very comfortable sneakers I've owned probably 30 pairs of Nike low tops over the past 10 years and these are by far the best. They are Free comfort with more cushion if that makes since. Also extremely light. five star Better than ultra boost no.But still a great running shoe.No break in ready to go straight out of the box. Super comfortable. Excelente The Nike Epic React Flynit 1s are an amazingly responsive shoe. It really feels like the shoe is kicking back with every step. The outer sole is surprisingly durable keeping the shoes shape for long periods of time. I personally have been wearing these shoes since they have come out and they are as good as everyone has said they are. I have been wearing the shoes daily since I bought them, and they are still in great condition. If you are looking for one of the most comfortable running shoes out there, then look no further. First, I want to start off by saying they are true to size. However, they fit perfectly to my feet the more I wore them, so size wont be a problem for you. The fit is great around the ankle, having a nice natural feel to it. The flynit holds your feet in, creating little space for movement within the shoe. These shoes also, have good bounce to them and are perfect if you want a shoe that responds to your feet. Secondly, the shoes are very well built. As I stated before, I wear mine just about every day and they are still in great condition (with little wrinkles on the bottom sole). The shoe also has great traction on them due to small rubber spots on the heels and toes. I think they are a great all-around running shoe. I hope my review helped make your decision easier	https://www.amazon.com/Nike-React-Flyknit-Running-AQ0067/dp/B07CGD3KM2?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07QTJQSFQ&psc=1
4	4	Brooks Glycerin 16	['Mesh', 'Imported', 'Rubber sole', 'Go the distance and beyond with the incredible flexibility, durability, and responsiveness of the Brooks® Glycerin 16 running shoe.', 'Predecessor: Glycerin 15.', 'Support Type: Neutral.', 'Cushioning: Maximum cushioning.', 'Surface: Road. Differential: 10 mm Double Jacquard Mesh upper for excellent breathability, flexibility, and stability. 3D printed overlay has strategic stretch and structure for a secure fit. Plush interior bootie provides luxurious comfort without sacrificing responsiveness and long-lasting durability. Centralized lace-up closure delivers a secure, adjustable fit. Padded tongue and collar provides comfort against foot. Smooth fabric lining creates a great wear inside of shoe. Removable cushi']	Since I routinely track-walk about a mile or so each day, the doctor felt I could benefit from a better walking shoe than the one I was using, which over time was causing soreness on the underside of the feet. Brooks provided the foot support I needed to walk comfortably and without soreness to my feet. The doctor said Brooks run a bit small, so I ordered 11.5M instead of 11M. It fit perfectly. They are a bit more expensive and lack the design a good looking tennis shoe, but the benefit of comfort and overall feeling is worth it. They sent me a replacement pair for free, and let me chose any model. I went with the new Beast 18 and they are amazing. The Glycerine shoes have gotten better- both in comfort and support- as the years have gone by. Id also like to point out that I also bought these particular shoes because of their durability. Ive been a fan of Brooks Glycerins since the 4s. I really like updates they did on these shoes and the fit to me is snug and secure. I only wish theyd come in better colors. I am a heavy runner and these shoes still run well for me. I still really do like the updates. The previous versions of the 12D were just fine for me. My shoes are too large but theyre comfortable. I recommend you order the size you wear first and go from there. The only reason I picked too large  for fit is because everyone was saying to order a larger size. I have had Glycerin 13, 14, and 15 and they fit fine so its my own fault for ordering these 16s a half size larger. These are the most comfortable Glycerins Ive had even though theyre too big. They fit almost perfectly, with just a little spare room in the toe. I describe the comfort like walking on clouds, I almost forget my feet are making contact with the Earth. My previous Brooks that are 10's are just as comfortable and fitting, as this. My feet have not hurt once. They have always been a perfect shoe. These Glycerin 16s, however, seem like a completely different shoe. The toe box is wider, which may be fine for some, but it makes my feet slide around. Additionally, these shoes seem to have a high arch (at least more than previous models) as well as a high outer edge on the insoles. There is a major improvement on the cushioning but the mesh absorbs too much water/ sweat to a point that feels like you are running with two bricks	https://www.amazon.com/Brooks-Mens-Glycerin-16/dp/B077K9HZ3B?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07DH659TH&psc=1
5	5	Brooks Adrenaline GTS 18	['Manmade,Mesh', 'Imported', 'Rubber sole', 'With stellar cushioning and a more streamlined look, the Brooks® Adrenaline GTS 18 running shoe will have you ready to perform at your best!', 'Predecessor: Adrenaline GTS 17.', 'Support Type: Overpronation/Stability.', 'Cushioning: High energizing cushioning.', 'Surface: Road. Differential: 12 mm. Breathable, flexible mesh and structurally supportive synthetic upper materials. Adjustable, asymmetrical mid-foot saddle creates a more secure, customizable fit. Lace-up closure. Plush tongue and collar. Comfortable fabric lining offers a great in-shoe feel. Removable molded foam insole supplies light underfoot cushioning. BioMoGo DNA has a gender-friendly cushioning design, making for a dynamic ride. Progressive Diagonal Rollbar®: tri-density midso']	I've worn several generations of the Brooks Adrenaline GTS series and this one continues to impress. I just can't bring myself to try anything else with as much as I like these. Great support, comfortable run, durable design. I generally put 450-600 miles on each pair, wash them, and then use them as casual shoes. Highly recommended for anyone looking for a support shoe. Great looking designs as well. I feel like these are so much better than the gts 17. Great shoes. He loves them. He's worn only Brooks shoes for running for years now and has always been comfortable in them. I'd definitely order them again if he needed some more. The GTS 18 bears no resemblance to my favorite GTS 16 sneakers, there is no support or durability and seems like Brooks just gave up on their brand. Brooks are a great running shoe. Stability shoes keep me from shin splints. not very impressed with these shoes, already falling apart These are great shoes. Love them. The sneakers have been very good on relieving the pressure he felt with other sneakers. The cushioning is great as well.	https://www.amazon.com/dp/B071NSP2JQ/ref=asc_df_B071NSP2JQ1555758000000?tag=runrepcom-20&creative=395261&creativeASIN=B071NSP2JQ&linkCode=asn&psc=1
6	6	Asics Gel Venture 6	['Synthetic', 'Imported', 'Rubber sole', 'Shaft measures approximately low-top from arch', 'Rearfoot GEL Cushioning System: Attenuates shock during impact phase and allows for a smooth transition to midstance.', 'Removable Sockliner: A sockliner which can be removed to accommodate a medical orthotic.', 'Removable Sockliner: A sockliner which can be removed to accommodate a medical orthotic.', '', '']	"I love my Asics running shoes. This, the ""Venture 6"", is the latest to undergo the transformation from great feeling shoe to complete garbage. The materials used are cheaper, the thickness of padding and support have been minimized, all resulting in this piece of garbage I now own. Luckily the Venture 5 shoe is still available so I will be be getting another pair of those. I'm pretty sure I either have a knock off or an irregular. Those were soo comfortable and like walking on springy cushion I wanted another pair for my general use. While they fit just fine, and are nice sneakers there was something off about them. I walked up and down my street in the orange and the put on the blue and green I bought from Amazon and there is clearly a comfort difference. I wills still keep them since they do fit my needs and won't be using them for my exercise regimen Like I said they are fine for what they are . If it's the latter then Amazon should describe them as such ""irregular"" For decades Ive been using expensive ASICS GT series running shoes. Now that I am getting old and walking instead of running, I am finding that Gel-Venture sneakers are more comfortable for all day wear and just as protective, at half the price. They have the added feature of a covering tab to protect the top of the show from wearing out in the front due to rising big toe issues, the major source of wear on my expensive ASICS GT2000 series shoes, which lack this feature. Do your feet a favor and skip this one. These fit perfectly, but if you are new to Asics, they run small in both length and width. Absolutely love the ASICS Gel-Venture series - have owned Series 4, 5 and 6 now and will keep buying them. I like that these have just the right amount of cushion without being bulky After one week the mesh material on the side of the shoe is fraying badly...They are comfortable, and good looking shoes....but not up to the quality I've come to expect from Asics. Would not recommend These fit pretty well. I had a pair of New Balance previously that I really liked, but couldn't find a new pair that was acceptable to replace with. These Asics fit fine. I do have a fairly flat foot, so hoping the slight arch in these doesn't cause an issue. It is definitely a smaller arch than many other brands. Quality looks pretty good - time will tell. I could recommend, definitely for those needing wider widths."	https://www.amazon.com/ASICS-Mens-Gel-Venture-Running-Shoe/dp/B071L2TYW1?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0719MHX9L&psc=1
7	7	Brooks Ghost 11	['Manmade', 'Imported', 'Rubber sole', 'The Brooks® Ghost 11 running shoe features a lightweight construction and a smoother ride from heel to toe so you can take your performance to the next level on every run.', 'Predecessor: Ghost 10.', 'Support Type: Neutral.', 'Cushioning: High energizing cushioning.', 'Surface: Road. Differential: 12mm. Heel/Toe: 30mm/18mm. Offers medium to high arch support. Engineered mesh upper provides improved breathability and needed stretch. Lightweight synthetic overlays. Traditional lace-up closure. Plush tongue and collar. Soft fabric lining for a great in-shoe feel. Removable foam insole for excellent underfoot comfort and support. BioMoGo DNA is a blend of earth-friendly BioMoGo and responsive Brooks DNA, and has a gender-friendly cushioning design, making for a']	"I absolutely loved my pair of Ghost 10s, so I bought the Ghost 11 figuring it would be more of the same. It's a good sneaker, but I feel it fits a little bit looser width wise. It's still a good running sneaker, and I like the added heel cushion on my endurance runs, but I don't feel like it has the same support the Ghost 10 had. Fit is true to size for me, good toe box room, and soft around the ankle while still feeling locked in. At almost one hundred miles in my feet and legs are happy, I didnt know running shoes could be this good. These are awesome shoes. A ton of value for the price. Nice light comfortable running shoe. I do mostly pavement these days, but have done a fair amount of running on the fire roads and trails as well. I'm in my 60's and I like a more traditional shoe with some padding underfoot. This is a good all-rounder and I have not had any trouble with my legs (knock knock) since changing to the Brooks shoes. They run pretty true to size. I have the 10 and these Ghost 11 pair is amazingly better. They fit perfectly and like my 10s they remove shin splints from my routine. Very comfortable shoes if you need a neutral. No need to break them in because they are perfect out of the box. Speaking of box, the toe box is roomy but supportive. If you want a comfortable running shoe with great cushioning, try these on. My only wish is for Brooks to come out with even more bright and loud color ways for men. I like shoes that are loud. Great kicks. Nike and Adidas are great for style but if you want a shoe for actually running or working out, these are the ones. By far some of the best running shoes. if your a neutral runner who does NOT overpronate this is the best ""cushioning"" shoe on the markert. I have both the Hoka one one Bondi 6 and clifton 4, I find myself favoring the Ghost 11s for long runs. Theise fit my needs. Positives
The delivery was very quick. The colors are awesome. The shoes seem to be comfortable (no run yet, to cold). Price good for a very solid reviewed shoe. I like to keep the shoe boxes to keep my shoes in this will not happen with this pair of shoes. Im hoping I get contacted by Brooks about this situation, cause there hasnt been many reviews I read with this happening and sure enough Im one of the few individuals that got the lucky draw. I heard good things about this shoe so I decided to give it a try. Took it for a run this morning, and boy was i impressed. It was very cushiony and soft inside, giving you a less impacted run. For those of you with joint problems, I think this could be the remedy if you want to keep an active lifestyle. Highly recommend this shoe"	https://www.amazon.com/Brooks-Mens-Ghost-11/dp/B077NGYXHR?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07D4Q2RFF&psc=1
8	8	Under Armour Charged Bandit 3	['100% Textile and Synthetic', 'Imported', 'Rubber sole', 'Shaft measures approximately low-top from arch', 'Innovative UA SpeedForm construction molds to the foot for a precision fit, eliminating all distraction', 'Lightweight upper hugs the foot for breathable, flexible support', 'Firm external heel counter for additional support that keeps the back of the foot locked in place', '', '']	"However, these are great shoes, you just have to know what size to by. I went to an Under Armor store recently and the fantastic salesperson let me in on how UA makes their shoes. So you want to buy a shoe that is half a size to a size bigger. Hope this is helpful. I love UA but this one is in its own league. Not only it has a really thick cushion, its light and chic. I must warn interested runners that you may need to go 1/2 size to a size bigger. I wear 9 but this was tight even as 9.5, but since its a free return, I got size 10. Its a bit spaceous but good for hiding stash of money. Okie now that you know where I hide my allowance I must change the hide place buhahaha Great shoe that fits well and performs well. I am a heavier runner and these provide neutral support and comfort for longer runs. Very happy with them. Lucky I read the reviews first before buying. I'm a US9.5(Asics Kayano/Adidas pure boost) but I bought US10 for this pair instead and it fits great. There is a gentle arc for the feet which I like. THE GOOD:
EXTREMELY comfortable shoes for the $65 price. I think I will go back to Nike where 10.5 has never failed me no matter if they are a running, basketball, or street shoe. These shoes are great. They fit perfect on my foot, not too tight and not too loose. I bought my first pair at academy and then they became my favorite pair of workout shoes so I went ahead and bought the black ones for when these wear out. I will say I normally wear a 9.5 but for some reason i wear a size 9 in these other than that theyre great. And no these arent womens shoes regardless of what it says when you click on it lol. These are incredibly comfortable. I really love them. They just fit my feet though. I have been wearing them for a week now and I don't feel much pain in my feet, which is amazing for a running shoe. I will definitely buy these again..just one size larger. Nice shoe. Fits well. Slight rubbing on back heel where the top of the rear of the shoe meets the Achilles. Overall well made and nice shoe"	https://www.amazon.com/Under-Armour-Charged-Bandit-Running/dp/B072LP7HVY?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07B1JZM46&psc=1
9	9	On Cloud	['Mesh', 'Cloudtec Elements allow a cushioned foot strike and interlock for a firm push-off.', 'High-grade EVA increases midsole durability', 'Honeycomb slippattern grips on and off the road.', 'CloudTec rubber gives high energy return and increased durability.', '3D air mesh allows air flow and cooling']	"Edited:
I have 135+ miles on them so far, so consider this an initial impression review. The fit is very similar in length and toe-box. I love the included elastic 'laces'. I generally skip laces and go with a 3rd party elastic. The support feels similar, i.e. minimal. If they hold up and continue to do well, I'll pickup another pair for rotation. I'm a fan of On and like these very much. My initial impression has held up, they aren't quite as light and airy as the Cloudracers, but I'll take the added support an a slightly larger drop. I appreciate the included stretch laces, big toe box. They are a nice balance for me. They are extremely comfortable and easy to slip on with or without socks, I suggest socks otherwise theyll probably get pretty stinky over time. These are also perfect for treadmill running. All in all a very good shoe for road running and treadmill running. I will definitely get another pair in the future . I loved these so much that I bought a pair of the navy blues, but the mesh on those ended up being a softer tech-mesh that is more like the gym-short material typical of other brands of running shoes. On the other hand, when the gray and orange pair caught on something, their more durable mesh material did not tear all the way through. Even as the shoes have worn out, there are small holes but they don't continue to tear and get bigger like the softer mesh does. Most comfortable shoes I've owned. I walk a lot, and I have no problem paying top dollar for a pair of shoes IF they feel good and provide adequate support. I have bought a lot of expensive shoes, and some are great, but none compare to the comfort of my On Cloud sneaker. They're not water repelling and can get easily wet in a mild shower, and it's true, they pick up pebbles like magnet. Again, the comfort level and traction support is the best I've experienced. I typically wear a 9 (or size 42.5 in EU) and these fit perfectly. I like the as they are. This fit as a 9.5 (yes i realize the review has been posted as a size 8 not sure why), so they may run a tad large for some, however i feel they fit me as expected. The shoe has been really fantastic so far, have used it nearly everyday - and it continues to offer superior comfort even as the 'stamp' on the individual clouds are disappearing. They've held up pretty well so far, would recommend them. On's price was a bit out of my comfort zone, so - i was able to purchase the red/flash pair last year during the year end sale for $50 (roughly). I did buy a second pair somewhat recently for about $80 (roughly) on Amazon at some ungodly morning hour, just an FYI to always check on the prices at different times of the day if you're considering this shoe. Additionally you may want to contact On's customer service to inquire when the next iteration of the shoe is due out, which may coincide with purging of old stock/models currently being sold (this is what i'm told happened late last year)."	https://www.amazon.com/ON-THECLOUD-Mens-Cloud/dp/B00YYEALA2?SubscriptionId=AKIAING73PPL74JOUHRA&tag=runrepcom-rn-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B015CR9XJ4&psc=1
